,count,mean,std,min,max
gdis_n_disasters_tlag12,44024.0,1.02,1.247,0.0,7.0
flood_dummy_ts_decay_6_tlag12,44024.0,0.617,0.403,0.0,1.0
gdis_disastertype_flood_ts_decay_6_tlag12,44024.0,0.382,0.406,0.0,1.0
gdis_disastertype_landslide_ts_decay_6_tlag12,44024.0,0.083,0.24,0.0,1.0
gdis_disastertype_storm_ts_decay_6_tlag12,44024.0,0.296,0.391,0.0,1.0
spei_3_severe_ts_decay_6_tlag12,44024.0,0.474,0.422,0.0,1.0
